"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","WHO.Region.Code","WHO.Region","Country.Code","Sex","Alcohol.total.per.capita..15...consumption.in.liters..numeric.","Alcohol.total.per.capita..15...consumption.in.liters..low.estimation.","Alcohol.total.per.capita..15...consumption.in.liters..high.estimation.","Alcohol.total.per.capita..15...consumption.in.liters..string.","Average_Alcohol_Consumption","Consumption_Comparison"
"21","Afghanistan",2006,"Developing",57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345,19.2,19.3,0.405,8.1,"EMR","Eastern Mediterranean","AFG","Female",0.01,0.008,0.028,"0.01 [0.008 – 0.028]",0.02,"BELOW AVERAGE"
"22","Afghanistan",2007,"Developing",57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792,19,19.1,0.415,8.4,"EMR","Eastern Mediterranean","AFG","Female",0.011,0.009,0.031,"0.011 [0.009 – 0.031]",0.0155,"BELOW AVERAGE"
"23","Afghanistan",2007,"Developing",57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792,19,19.1,0.415,8.4,"EMR","Eastern Mediterranean","AFG","Both sexes",0.044,0.035,0.11,"0.044 [0.035 – 0.11]",0.032,"BELOW AVERAGE"
"24","Afghanistan",2007,"Developing",57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792,19,19.1,0.415,8.4,"EMR","Eastern Mediterranean","AFG","Male",0.075,0.059,0.19,"0.075 [0.059 – 0.19]",0.0475,"BELOW AVERAGE"
"25","Afghanistan",2008,"Developing",58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431,18.8,18.9,0.433,8.7,"EMR","Eastern Mediterranean","AFG","Female",0.01,0.008,0.028,"0.01 [0.008 – 0.028]",0.02,"BELOW AVERAGE"
"26","Afghanistan",2008,"Developing",58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431,18.8,18.9,0.433,8.7,"EMR","Eastern Mediterranean","AFG","Both sexes",0.04,0.032,0.11,"0.04 [0.032 – 0.11]",0.035,"BELOW AVERAGE"
"27","Afghanistan",2008,"Developing",58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431,18.8,18.9,0.433,8.7,"EMR","Eastern Mediterranean","AFG","Male",0.067,0.054,0.18,"0.067 [0.054 – 0.18]",0.0485,"BELOW AVERAGE"
"28","Afghanistan",2009,"Developing",58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331,18.6,18.7,0.434,8.9,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.027,"0.009 [0.007 – 0.027]",0.0095,"BELOW AVERAGE"
"29","Afghanistan",2009,"Developing",58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331,18.6,18.7,0.434,8.9,"EMR","Eastern Mediterranean","AFG","Both sexes",0.036,0.028,0.1,"0.036 [0.028 – 0.1]",0.023,"BELOW AVERAGE"
"30","Afghanistan",2009,"Developing",58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331,18.6,18.7,0.434,8.9,"EMR","Eastern Mediterranean","AFG","Male",0.062,0.048,0.18,"0.062 [0.048 – 0.18]",0.036,"BELOW AVERAGE"
"31","Afghanistan",2010,"Developing",58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2,"EMR","Eastern Mediterranean","AFG","Female",0.006,0.005,0.021,"0.006 [0.005 – 0.021]",0.008,"BELOW AVERAGE"
"32","Afghanistan",2010,"Developing",58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2,"EMR","Eastern Mediterranean","AFG","Both sexes",0.025,0.019,0.08,"0.025 [0.019 – 0.08]",0.0175,"BELOW AVERAGE"
"33","Afghanistan",2010,"Developing",58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2,"EMR","Eastern Mediterranean","AFG","Male",0.042,0.033,0.14,"0.042 [0.033 – 0.14]",0.026,"BELOW AVERAGE"
"34","Afghanistan",2011,"Developing",59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599,18.2,18.2,0.454,9.5,"EMR","Eastern Mediterranean","AFG","Female",0.004,0.003,0.018,"0.004 [0.003 – 0.018]",0.007,"BELOW AVERAGE"
"35","Afghanistan",2011,"Developing",59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599,18.2,18.2,0.454,9.5,"EMR","Eastern Mediterranean","AFG","Male",0.029,0.021,0.12,"0.029 [0.021 – 0.12]",0.0195,"BELOW AVERAGE"
"36","Afghanistan",2011,"Developing",59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599,18.2,18.2,0.454,9.5,"EMR","Eastern Mediterranean","AFG","Both sexes",0.017,0.012,0.071,"0.017 [0.012 – 0.071]",0.0135,"BELOW AVERAGE"
"37","Afghanistan",2012,"Developing",59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669.959,3696958,17.9,18,0.463,9.8,"EMR","Eastern Mediterranean","AFG","Female",0.003,0.002,0.015,"0.003 [0.002 – 0.015]",0.0065,"BELOW AVERAGE"
"38","Afghanistan",2012,"Developing",59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669.959,3696958,17.9,18,0.463,9.8,"EMR","Eastern Mediterranean","AFG","Both sexes",0.013,0.009,0.054,"0.013 [0.009 – 0.054]",0.0115,"BELOW AVERAGE"
"39","Afghanistan",2012,"Developing",59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669.959,3696958,17.9,18,0.463,9.8,"EMR","Eastern Mediterranean","AFG","Male",0.022,0.015,0.091,"0.022 [0.015 – 0.091]",0.016,"BELOW AVERAGE"
"40","Afghanistan",2013,"Developing",59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9,"EMR","Eastern Mediterranean","AFG","Male",0.022,0.015,0.095,"0.022 [0.015 – 0.095]",0.016,"BELOW AVERAGE"
"41","Afghanistan",2013,"Developing",59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9,"EMR","Eastern Mediterranean","AFG","Female",0.003,0.002,0.015,"0.003 [0.002 – 0.015]",0.0065,"BELOW AVERAGE"
"42","Afghanistan",2013,"Developing",59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9,"EMR","Eastern Mediterranean","AFG","Both sexes",0.013,0.009,0.056,"0.013 [0.009 – 0.056]",0.0115,"BELOW AVERAGE"
"43","Afghanistan",2014,"Developing",59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10,"EMR","Eastern Mediterranean","AFG","Female",0.002,0.001,0.011,"0.002 [0.001 – 0.011]",0.006,"BELOW AVERAGE"
"44","Afghanistan",2014,"Developing",59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10,"EMR","Eastern Mediterranean","AFG","Male",0.014,0.009,0.072,"0.014 [0.009 – 0.072]",0.012,"BELOW AVERAGE"
"45","Afghanistan",2014,"Developing",59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10,"EMR","Eastern Mediterranean","AFG","Both sexes",0.008,0.006,0.043,"0.008 [0.006 – 0.043]",0.009,"BELOW AVERAGE"
"46","Afghanistan",2015,"Developing",65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1,"EMR","Eastern Mediterranean","AFG","Male",0.014,0.009,0.07,"0.014 [0.009 – 0.07]",0.012,"BELOW AVERAGE"
"47","Afghanistan",2015,"Developing",65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1,"EMR","Eastern Mediterranean","AFG","Both sexes",0.008,0.005,0.043,"0.008 [0.005 – 0.043]",0.009,"BELOW AVERAGE"
"48","Afghanistan",2015,"Developing",65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1,"EMR","Eastern Mediterranean","AFG","Female",0.002,0.001,0.011,"0.002 [0.001 – 0.011]",0.006,"BELOW AVERAGE"
"49","Albania",2000,"Developing",72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,1175.788981,38927,2.1,2.2,0.656,10.7,"EUR","Europe","ALB","Male",12.11,9.81,15.34,"12.11 [9.81 – 15.34]",7.885,"ABOVE AVERAGE"
"50","Albania",2000,"Developing",72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,1175.788981,38927,2.1,2.2,0.656,10.7,"EUR","Europe","ALB","Both sexes",7.5,5.91,9.2,"7.5 [5.91 – 9.2]",5.58,"ABOVE AVERAGE"
"51","Albania",2000,"Developing",72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,1175.788981,38927,2.1,2.2,0.656,10.7,"EUR","Europe","ALB","Female",2.86,1.96,3.05,"2.86 [1.96 – 3.05]",3.26,"BELOW AVERAGE"
"52","Albania",2001,"Developing",73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,36173,2.1,2.1,0.662,10.6,"EUR","Europe","ALB","Both sexes",7.5,5.91,9.2,"7.5 [5.91 – 9.2]",5.875,"ABOVE AVERAGE"
"53","Albania",2001,"Developing",73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,36173,2.1,2.1,0.662,10.6,"EUR","Europe","ALB","Male",12.11,9.81,15.34,"12.11 [9.81 – 15.34]",8.18,"ABOVE AVERAGE"
"54","Albania",2001,"Developing",73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,36173,2.1,2.1,0.662,10.6,"EUR","Europe","ALB","Female",2.86,1.96,3.05,"2.86 [1.96 – 3.05]",3.555,"BELOW AVERAGE"
"55","Albania",2002,"Developing",73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,3511,2,2.1,0.67,10.7,"EUR","Europe","ALB","Both sexes",7.48,5.97,9.11,"7.48 [5.97 – 9.11]",5.605,"ABOVE AVERAGE"
"56","Albania",2002,"Developing",73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,3511,2,2.1,0.67,10.7,"EUR","Europe","ALB","Female",2.86,1.97,3.05,"2.86 [1.97 – 3.05]",3.295,"BELOW AVERAGE"
"57","Albania",2002,"Developing",73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,3511,2,2.1,0.67,10.7,"EUR","Europe","ALB","Male",12.08,9.97,15.27,"12.08 [9.97 – 15.27]",7.905,"ABOVE AVERAGE"
"58","Albania",2003,"Developing",72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,339616,1.9,2,0.674,10.7,"EUR","Europe","ALB","Female",2.75,1.86,2.88,"2.75 [1.86 – 2.88]",3.52,"BELOW AVERAGE"
"59","Albania",2003,"Developing",72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,339616,1.9,2,0.674,10.7,"EUR","Europe","ALB","Both sexes",7.17,5.74,8.58,"7.17 [5.74 – 8.58]",5.73,"ABOVE AVERAGE"
"60","Albania",2003,"Developing",72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,339616,1.9,2,0.674,10.7,"EUR","Europe","ALB","Male",11.6,9.59,14.36,"11.6 [9.59 – 14.36]",7.945,"ABOVE AVERAGE"
"61","Albania",2004,"Developing",73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,326939,1.8,1.9,0.681,10.9,"EUR","Europe","ALB","Female",2.89,2,3.04,"2.89 [2 – 3.04]",3.715,"BELOW AVERAGE"
"62","Albania",2004,"Developing",73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,326939,1.8,1.9,0.681,10.9,"EUR","Europe","ALB","Both sexes",7.5,6.06,9.03,"7.5 [6.06 – 9.03]",6.02,"ABOVE AVERAGE"
"63","Albania",2004,"Developing",73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,326939,1.8,1.9,0.681,10.9,"EUR","Europe","ALB","Male",12.15,10.15,15.11,"12.15 [10.15 – 15.11]",8.345,"ABOVE AVERAGE"
"64","Albania",2005,"Developing",73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487,1.8,1.8,0.685,10.8,"EUR","Europe","ALB","Both sexes",7.71,6.27,9.24,"7.71 [6.27 – 9.24]",6.435,"ABOVE AVERAGE"
"65","Albania",2005,"Developing",73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487,1.8,1.8,0.685,10.8,"EUR","Europe","ALB","Male",12.51,10.57,15.54,"12.51 [10.57 – 15.54]",8.835,"ABOVE AVERAGE"
"66","Albania",2005,"Developing",73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487,1.8,1.8,0.685,10.8,"EUR","Europe","ALB","Female",2.99,2.06,3.15,"2.99 [2.06 – 3.15]",4.075,"BELOW AVERAGE"
"67","Albania",2006,"Developing",74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,1.7,1.8,0.696,11.4,"EUR","Europe","ALB","Female",3.12,2.18,3.25,"3.12 [2.18 – 3.25]",4.215,"BELOW AVERAGE"
"68","Albania",2006,"Developing",74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,1.7,1.8,0.696,11.4,"EUR","Europe","ALB","Both sexes",8.02,6.62,9.52,"8.02 [6.62 – 9.52]",6.665,"ABOVE AVERAGE"
"69","Albania",2006,"Developing",74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,1.7,1.8,0.696,11.4,"EUR","Europe","ALB","Male",13.01,11.13,16.09,"13.01 [11.13 – 16.09]",9.16,"ABOVE AVERAGE"
"70","Albania",2007,"Developing",75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,29717,1.6,1.7,0.703,11.6,"EUR","Europe","ALB","Male",13.09,11.17,15.86,"13.09 [11.17 – 15.86]",9.335,"ABOVE AVERAGE"
"71","Albania",2007,"Developing",75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,29717,1.6,1.7,0.703,11.6,"EUR","Europe","ALB","Both sexes",8.07,6.63,9.4,"8.07 [6.63 – 9.4]",6.825,"ABOVE AVERAGE"
"72","Albania",2007,"Developing",75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,29717,1.6,1.7,0.703,11.6,"EUR","Europe","ALB","Female",3.15,2.21,3.22,"3.15 [2.21 – 3.22]",4.365,"BELOW AVERAGE"
"73","Albania",2008,"Developing",75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,1.6,1.6,0.713,12,"EUR","Europe","ALB","Male",12.87,11.07,15.75,"12.87 [11.07 – 15.75]",9.24,"ABOVE AVERAGE"
"74","Albania",2008,"Developing",75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,1.6,1.6,0.713,12,"EUR","Europe","ALB","Female",3.1,2.19,3.2,"3.1 [2.19 – 3.2]",4.355,"BELOW AVERAGE"
"75","Albania",2008,"Developing",75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,1.6,1.6,0.713,12,"EUR","Europe","ALB","Both sexes",7.94,6.58,9.37,"7.94 [6.58 – 9.37]",6.775,"ABOVE AVERAGE"
"76","Albania",2009,"Developing",76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519,1.5,1.6,0.721,12.2,"EUR","Europe","ALB","Female",2.9,2.03,3.03,"2.9 [2.03 – 3.03]",4.345,"BELOW AVERAGE"
"77","Albania",2009,"Developing",76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519,1.5,1.6,0.721,12.2,"EUR","Europe","ALB","Male",12.09,10.13,14.91,"12.09 [10.13 – 14.91]",8.94,"ABOVE AVERAGE"
"78","Albania",2009,"Developing",76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519,1.5,1.6,0.721,12.2,"EUR","Europe","ALB","Both sexes",7.46,6.08,8.83,"7.46 [6.08 – 8.83]",6.625,"ABOVE AVERAGE"
"79","Albania",2010,"Developing",76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,291321,1.4,1.5,0.725,12.5,"EUR","Europe","ALB","Both sexes",7.11,5.81,8.54,"7.11 [5.81 – 8.54]",6.195,"ABOVE AVERAGE"
"80","Albania",2010,"Developing",76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,291321,1.4,1.5,0.725,12.5,"EUR","Europe","ALB","Female",2.76,1.93,2.91,"2.76 [1.93 – 2.91]",4.02,"BELOW AVERAGE"
"81","Albania",2010,"Developing",76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,291321,1.4,1.5,0.725,12.5,"EUR","Europe","ALB","Male",11.53,9.72,14.38,"11.53 [9.72 – 14.38]",8.405,"ABOVE AVERAGE"
"82","Albania",2011,"Developing",76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3,"EUR","Europe","ALB","Female",2.58,1.8,2.71,"2.58 [1.8 – 2.71]",3.975,"BELOW AVERAGE"
"83","Albania",2011,"Developing",76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3,"EUR","Europe","ALB","Male",10.84,9.17,13.36,"10.84 [9.17 – 13.36]",8.105,"ABOVE AVERAGE"
"84","Albania",2011,"Developing",76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3,"EUR","Europe","ALB","Both sexes",6.69,5.49,7.99,"6.69 [5.49 – 7.99]",6.03,"ABOVE AVERAGE"
"85","Albania",2012,"Developing",76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2,"EUR","Europe","ALB","Both sexes",6.52,5.28,7.77,"6.52 [5.28 – 7.77]",5.83,"ABOVE AVERAGE"
"86","Albania",2012,"Developing",76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2,"EUR","Europe","ALB","Female",2.5,1.74,2.62,"2.5 [1.74 – 2.62]",3.82,"BELOW AVERAGE"
"87","Albania",2012,"Developing",76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2,"EUR","Europe","ALB","Male",10.55,8.82,13.03,"10.55 [8.82 – 13.03]",7.845,"ABOVE AVERAGE"
"88","Albania",2013,"Developing",77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2,"EUR","Europe","ALB","Male",10,8.38,12.45,"10 [8.38 – 12.45]",7.38,"ABOVE AVERAGE"
"89","Albania",2013,"Developing",77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2,"EUR","Europe","ALB","Both sexes",6.19,5.02,7.48,"6.19 [5.02 – 7.48]",5.475,"BELOW AVERAGE"
"90","Albania",2013,"Developing",77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2,"EUR","Europe","ALB","Female",2.35,1.63,2.48,"2.35 [1.63 – 2.48]",3.555,"BELOW AVERAGE"
